data_format,development_key,status,year_completed,street_address,property_id,floors_above,town_planning_application,longitude,latitude
Pre May 16,X000161,COMPLETED,2003,222-260 Elizabeth Street MELBOURNE VIC 3000,103312,21,0,144.9628825,-37.81270208
Pre May 16,X000556,COMPLETED,2011,North Melbourne Primary School 200-214 Errol Street NORTH MELBOURNE VIC 3051,103480,2,0,144.9515714,-37.79832324
Pre May 16,X000112,COMPLETED,2006,113-149 Exhibition Street MELBOURNE VIC 3000,103597,40,0,144.9701094,-37.81281423
Pre May 16,X000118,COMPLETED,2011,136-144 Exhibition Street MELBOURNE VIC 3000,103623,2,0,144.9711072,-37.81240242
Pre May 16,X000022,COMPLETED,2013,167-173 Flinders Lane MELBOURNE VIC 3000,103934,2,0,144.9688284,-37.81614284
Pre May 16,X001142,COMPLETED,2003,Flinders Wharf Apartments 40-66 Siddeley Street DOCKLANDS VIC 3008,103980,19,0,144.952474,-37.82287313
Pre May 16,X000010,COMPLETED,2005,546-548 Flinders Street MELBOURNE VIC 3000,103988,15,0,144.9561483,-37.82050212
Pre May 16,X000027,COMPLETED,2014,104-112 Flinders Street MELBOURNE VIC 3000,104026,12,0,144.9711552,-37.81600514
Pre May 16,X000036,COMPLETED,2012,96-98 Flinders Street MELBOURNE VIC 3000,104028,5,0,144.971475,-37.81590142
Pre May 16,X000677,COMPLETED,2003,1-13 Gatehouse Drive KENSINGTON VIC 3031,104200,8,0,144.9202883,-37.79121717
Pre May 16,X000960,COMPLETED,2015,Royal Melbourne Hospital 300-328 Grattan Street PARKVILLE VIC 3050,104437,0,0,144.9563397,-37.798639
Pre May 16,X000434,COMPLETED,2012,University of Melbourne 156-292 Grattan Street PARKVILLE VIC 3010,104468,0,0,144.9612401,-37.79675468
Pre May 16,X000435,COMPLETED,2014,University of Melbourne 156-292 Grattan Street PARKVILLE VIC 3010,104468,6,0,144.9612401,-37.79675468
Pre May 16,X000671,COMPLETED,2009,65-69 Hobsons Road KENSINGTON VIC 3031,104829,1,0,144.9169559,-37.79641837
Pre May 16,X000500,COMPLETED,2008,38-40 Howard Street NORTH MELBOURNE VIC 3051,105035,4,0,144.954187,-37.8043655
Pre May 16,X000497,COMPLETED,2003,22-26 Howard Street NORTH MELBOURNE VIC 3051,105037,4,0,144.9543084,-37.80471878
Pre May 16,X000571,COMPLETED,2010,86-90 Ireland Street WEST MELBOURNE VIC 3003,105092,3,0,144.9436122,-37.80656059
Pre May 16,X000572,COMPLETED,2014,26-32 Ireland Street WEST MELBOURNE VIC 3003,105101,4,0,144.945337,-37.8074106
Pre May 16,X000179,COMPLETED,2014,Hotel Sophia 277-287 King Street MELBOURNE VIC 3000,105318,3,0,144.9541999,-37.81367556
Pre May 16,X000183,COMPLETED,2002,262-274 King Street MELBOURNE VIC 3000,105376,18,0,144.9549299,-37.81372383
Pre May 16,X000518,COMPLETED,2011,15-33 Byron Street NORTH MELBOURNE VIC 3051,105630,4,0,144.9518409,-37.80198135
Pre May 16,X000521,COMPLETED,2015,68-82 Leveson Street NORTH MELBOURNE VIC 3051,105632,4,0,144.9516987,-37.80250243
Pre May 16,X000145,COMPLETED,2005,16-22 Liverpool Street MELBOURNE VIC 3000,105659,12,0,144.971548,-37.81105993
Pre May 16,X000174,COMPLETED,2003,Unilodge on Lonsdale 35-41 Lonsdale Street MELBOURNE VIC 3000,105670,22,0,144.9711505,-37.80996062
Pre May 16,X000198,COMPLETED,2004,QV Village 278-300 Swanston Street MELBOURNE VIC 3000,105749,48,0,144.965725,-37.81067869
Pre May 16,X000201,COMPLETED,2015,166-170 Lonsdale Street MELBOURNE VIC 3000,105751,15,0,144.9673695,-37.81056735
Pre May 16,X000069,COMPLETED,2014,601-611 Little Collins Street MELBOURNE VIC 3000,105945,8,0,144.9549044,-37.81802841
Pre May 16,X000261,COMPLETED,2014,22-32 Little La Trobe Street MELBOURNE VIC 3000,105989,18,0,144.9626725,-37.80917171
Pre May 16,X000185,COMPLETED,2010,551-555 Little Lonsdale Street MELBOURNE VIC 3000,106023,3,0,144.9555651,-37.81329565
Pre May 16,X000209,COMPLETED,2005,466-468 Little Lonsdale Street MELBOURNE VIC 3000,106031,5,0,144.955573,-37.81290461
Pre May 16,X000212,COMPLETED,2010,La Banque Apartments 380-386 Little Lonsdale Street MELBOURNE VIC 3000,106035,36,0,144.9581022,-37.81209822
Pre May 16,X000217,COMPLETED,2014,280-294 Little Lonsdale Street MELBOURNE VIC 3000,106044,36,0,144.9609411,-37.81127448
